rank,title,artist,release,summary,metascore,userscore
1,Ten Freedom Summers,Wadada Leo Smith,"May 22, 2012",The four-disc set from the jazz trumpeter was inspired by the Civil Rights Movement.,99,4.3
2,Fetch the Bolt Cutters,Fiona Apple,"April 17, 2020","The fifth full-length studio release for the alternative singer-songwriter was self-produced and features contributions from Davíd Garza, Sebastian Steinberg, and Amy Aileen Wood.",98,8.1
3,SMiLE,Brian Wilson,"September 28, 2004","Well, better 37 years late than never. Originally intended to be the Beach Boys' 1967 follow-up to their legendary 'Pet Sounds,' 'Smile' was finally recorded as originally intended in April 2004 by Wilson and his current band, including co-songwriter Van Dyke Parks.",97,7.9
4,Van Lear Rose,Loretta Lynn,"April 27, 2004","It's been over 40 years since she released her first album (and four since her last, 2000's 'Still Country'), but the coal miner's daughter returns to the spotlight with this 13-track effort (all Lynn-penned originals), produced by The White Stripes' Jack White.",97,8.4
5,To Pimp A Butterfly,Kendrick Lamar,"March 16, 2015","The third full-length studio release from the hip hop artist features guest appearances from Bilal, George Clinton, James Fauntleroy, Ronald Isley, Rapsody, Snoop Dogg, Thundercat, and Anna Wise.",96,8.9
6,Ghosteen,Nick Cave & the Bad Seeds,"October 4, 2019",The 17th full-length studio release for Australian rock band is influenced in part by the accidental death of Nick Cave's 15-year old son in 2015 and is considered the third and final part of trilogy of albums that includes 2013's Push the Sky Away and 2016's Skeleton Tree.,96,8.6
7,Histoire de Melody Nelson,Serge Gainsbourg,"March 24, 2009",The US release of Serge Gainsbourg's 1971 album featuring Jane Birkin in the classic Ballade de Melody Nelson.,96,8.8
8,DAMN.,Kendrick Lamar,"April 14, 2017","The fourth full-length studio release for the Compton rapper features guest appearances from Rihanna, U2, and Zacari.",95,8.4
9,Stankonia,Outkast,"October 31, 2000","Featuring the hit singles ""B.O.B."" and ""Ms. Jackson,"" 'Stankonia' was a commercial and critical hit for the innovative Atlanta hip-hop duo of Dré and Big Boi.",95,8.8
10,Rough and Rowdy Ways,Bob Dylan,"June 19, 2020",The first new studio release of new music for the singer-songwriter in eight years.,95,7.6
